cpu_generation,cpu_cores,brand,color,scraped_at,gpu_type,intended_use,ram_gb,cpu_family,ssd_gb,screen_size_inch,weight,gpu_vram_gb,refresh_rate_hz,cpu_model,price_try,cpu_max_ghz,url,panel_type,ram_type,platform,display_standard,hdd_gb,operating_system,resolution,gpu_model,gpu_vram_type,title
13.0,,casper,gri,2025-12-17 11:02:51,dedicated_high_end,oyun ve eğlence,16.0,intel core i7,1024.0,15.6,2 - 4 kg,6.0,165.0,13620h,37599.0,4.9,https://www.hepsiburada.com/casper-excalibur-g870-intel-core-i7-13620h-16gb-1tb-ssd-rtx3050-freedos-15-6-165hz-tasinabilir-bilgisayar-g870-1362-bfj0x-c-pm-hbc00009hri6v,ips,ddr4,hepsiburada,full hd,,freedos,1920x1080,nvidia geforce rtx 3050,gddr6,"casper excalibur g870 intel core i7 13620h 16gb 1tb ssd rtx3050 freedos 15.6"" 165hz taşınabilir bilgisayar g870.1362-bfj0x-c"
,,lenovo,gri,2025-12-17 11:02:54,integrated,,4.0,intel celeron,,15.6,2 kg ve altı,,,n100,9599.0,3.4,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-celeron-n100-4gb-128gb-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-82xb009gtx-pm-hbc00008o183i,tn,lpddr5,hepsiburada,FHD,128.0,windows home,1920x1080,onboard,onboard,"lenovo ideapad slim 3 intel celeron n100 4gb 128gb windows 11 home 15.6"" fhd taşınabilir bilgisayar 82xb009gtx"
13.0,,casper,titanyum gri,2025-12-17 11:02:59,integrated,,32.0,intel core i7,1024.0,16.0,2 kg ve altı,0.0,,13620h,33899.0,4.9,https://adservice.hepsiburada.com/event/api/v1/track?event=otnnadu5cgwzqujnrtgvd3ditvhrngcwqu9drxpqtlrrbmnjzvrwb0xhz0zjqln4eun6c3rhy29wmetvswpksepzk28wsvirck5ynet5bfvnwwzqblg3nth0bnarnmzuqucyzhliuwyrbuneylzqaud4utk1bxrprxfwzevlzdn1rhztoencaws2mjl1wkhzaxptuvvjm1dyb2pxblivtmleoep1au9amzhynne1ny9aathnu0tiae4vaelvqm9gykrqnuo5l0d1nxzsv0nhbfryytrszjzvvjrjzg5dtzvmvfrkwkk4s0rob3fmd3fpuuzjk1pmv0zwtzdxwvvozwhhrw1mz1duay9oamrnrhntrlbjaxvubwppvg9sbxpnq1ermlduuxr1nzcvsmhcnla1dm1uzwjobulty0xls2tpqnd2azbvahd6merrvuyzru1hk01vk2tdwmfpcmrtnxdtbnpybss3vef3chlmzlhxwg8zuxhjdtk4ckvnsg9zzm1kwuxxwdnvuzr3zhlkdes5nlnsswqvt3byq1dhkzzrm05nmstfcmlnbzrrdenzr3a2wncznldjykzhcc9ru0nveujmdtniejy5k0q1wjfsovjpcddyy0vvuxzinwtkse5xc01xwwl2ve5ltut2a1h1zxpmdmhdslq3ehzkaujpauk1vfh0ukhiuxnpr0laqmxns2fuegjubxfstknrujnaze1ma2fp&redirect=https%3a%2f%2fwww.hepsiburada.com%2fcasper-nirvana-s100-300nit-i7-13620h-32gb-ddr5-1tb-ssd-16-freedos-laptop-s100-1362-df00x-g-f-p-hbcv00007xo5vn%3fmagaza%3dcasper+excalibur&eventname=sp-click&platform=desktop,ips,ddr5,hepsiburada,,,freedos,1920x1200,intel graphics,paylaşımlı,"casper nirvana s100 300nit i7-13620h 32gb ddr5 1tb ssd 16"" freedos laptop s100.1362-df00x-g-f"
13.0,,casper,siyah,2025-12-17 11:03:01,dedicated_high_end,oyun ve eğlence,32.0,intel core i7,1024.0,16.0,2 - 4 kg,8.0,165.0,13620h,57499.0,4.9,https://www.hepsiburada.com/casper-excalibur-g915-intel-core-i7-13620h-32gb-1tb-ssd-rtx5060-freedos-16-165hz-tasinabilir-bilgisayar-g915-1362-df60x-c-pm-hbc00009qzqbp,ips,ddr5,hepsiburada,full hd,,freedos,1920x1200,nvidia geforce rtx 5060,gddr7,"casper excalibur g915 intel core i7 13620h 32gb 1tb ssd rtx5060 freedos 16"" 165hz taşınabilir bilgisayar g915.1362-df60x-c"
13.0,,msi,siyah,2025-12-17 11:03:03,dedicated_high_end,oyun ve eğlence,16.0,intel core i5,512.0,15.6,1 - 2 kg,6.0,144.0,intel core i5,36599.0,4.6,https://www.hepsiburada.com/msi-cyborg-15-a13ve-1252xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-hbc00006iuw8w,tn,ddr5,hepsiburada,full hd,,freedos,1920x1080,nvidia geforce rtx 4050,gddr6,"msi cyborg 15 a13ve-1252xtr intel core i5 13420h 16gb 512gb ssd rtx4050 freedos 15.6"" fhd taşınabilir bilgisayar"
8.0,,gameraider,"siyah, siyah",2025-12-17 11:03:07,dedicated_high_end,oyun ve eğlence,16.0,amd ryzen 9,1024.0,16.0,"2,2 kg",8.0,180.0,8940hx,60999.0,5.3,https://adservice.hepsiburada.com/event/api/v1/track?event=m21swwlqyvfmddflvwhqdharyxzkskk2vek1blbty243nmvatmjhy3ftoflhwwf2snvprfqxc3btu3lir01nru94c29jnjluvtvpkzhmtk4zz2w4ug1rtu9wehjsofowsdjirjz6wtewm3jqcwhtzw0yk0llrfftazb3cklzc2tkvxhuvny1z1vwrkyrm0zcugf3dkr0ujivrfhuuehuynnqbxbychnim2xhdjluwhnodw5eujfbd3e2r0rudlq4dkljsmk4vkrvc0diwwpioc9gbwflvtdkswzhsvnqtm9vwktydgtcetjxrhq3zvfaznlxvuzwm2zntetdbmg0aezzum5wmfqyrmllvxd3b3lzaegzdlfybexruff6vur3etbsk3dtzjzeofnoum11k1kxvtzxq0lrmmnsy3lsekneenpfwjhqthfty1bknwhpaha4t1rgc2f2ogh6ruk3tkdrzkqzr2rhzhnhsnzvmux6zhzoustqbfzlt3lhqjivbg1jehdfaxdftwyys0s1t1c2mldpsyttbge3udvhewh0oedebxpleln4wxyxulq2dnqyn1y5vhrkak15eu9odknxaxdlweztywnpuvzwwstwr2fqowpcv0xmbvaxywiynvb4rvq2qlyrafrpcdnnrgdpz0lvcjcvu2hyzjj0mmvis3dvsnboblnutdaxrjhjl2dcq2zmcm9sl2ninxdwuvk2exjwt0lm&redirect=https%3a%2f%2fwww.hepsiburada.com%2fgameraider-flux-gr16-amd-ryzen-9-8940hx-16gb-ddr5-1tb-ssd-rtx-5060-8gb-115w-16-inc-2-5k-qhd-180hz-freedos-gaming-laptop-p-hbcv0000b0jrh4%3fmagaza%3dbeta+plus+teknoloj%c4%b0&eventname=sp-click&platform=desktop,,ddr5,hepsiburada,qhd+,,freedos,2560x1600,nvidia geforce rtx 5060,gddr7,gameraider flux gr16 amd ryzen 9-8940hx 16gb ddr5 1tb ssd rtx 5060 8gb 115w 16 inç 2.5k qhd+ 180hz freedos gaming laptop
13.0,,casper,gri,2025-12-17 11:03:12,dedicated_high_end,,64.0,intel core i7,,15.6,2 - 4 kg,8.0,165.0,13620h,85199.0,2.4,https://adservice.hepsiburada.com/event/api/v1/track?event=rfpvcwvzdktkunhowxp1ueezwxkyk1njmtnquwffb0jqumxkzfnxwxlwunrlbejirxfuv29ybnf3bsttudhvnmn6ztz1umt1dxhmrgw3vuh2wdvcvm95afj2zmvhzfl3sulzn21xt0pwtktgclhbvm11n0hmr3hmunlzc3dgd2q4wstgnvjpwdjvsvltwhhovtfgq1z1vetyyujzdxz1dww3lzhxwkwxzmnuz002tctztyt3wmhlkytfsmi4sxdwv0rtvuxoq1u2nvfqewtyclpir0t1mxh0r0d2t1rwmhu3ngjqyytyuzv5r0ztdefkwufmzfjunhg2s0qwovkvbedcyuy0ruvrqvdmmhzgukzingxtu2vsr3lsegmzuwfkc3nwcdb3d2xvsfvhtmc2u0nvz3m4qjv5v3jrynbkme5gzmd2k3heywxza1vryjzhwufxrkthtdndv2x6re1nb1zzdxniykhnshp2zeu3svj3mitangorvtr6uu91k203q0tkndc2efawylnlrm9sath5bgr3zzvrblnzmeq2zzrwwhhybmjsykp2owf6twflb095es9hm3ywujbqvgrktkvqumwvbxzsqmn2qxdkvedsc3d1mg93z0hmrzi1rnqrchdlse9osnc3uwlyk1lxqzhzyjj4mutqmtnpbnjsovhgtdduakrvtlkytlh3d0gvm2rqvu01t1ozuhhiuu8xthlsv3hnwg8=&redirect=https%3a%2f%2fwww.hepsiburada.com%2fcasper-excalibur-g870-i7-13620h-64gb-2tb-8gb-rtx5070-165hz-15-6-freedos-tasinabilir-bilgisayar-g870-1362-ex70x-c-p-hbcv00008wf6ti%3fmagaza%3dcasper+excalibur&eventname=sp-click&platform=desktop,ips,ddr5,hepsiburada,,,freedos,1920x1080,nvidia geforce rtx 5070,gddr7,"casper excalibur g870 i7-13620h 64gb 2tb 8gb rtx5070 165hz 15.6"" freedos taşınabilir bilgisayar g870.1362-ex70x-c"
13.0,,msi,"gri, gri",2025-12-17 11:03:15,dedicated,oyun ve eğlence,16.0,intel core i5,512.0,15.6,2 kg ve altı,4.0,144.0,intel core i5,30798.99,4.6,https://www.hepsiburada.com/msi-thin-15-b13uc-3074xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-hbc00008qm2jk,,ddr4,hepsiburada,full hd,,freedos,1920x1080,nvidia geforce rtx 3050,gddr6,"msi thin 15 b13uc-3074xtr intel core i5 13420h 16gb 512gb ssd rtx3050 freedos 15.6"" fhd 144hz taşınabilir bilgisayar"
12.0,,huawei,gri,2025-12-17 11:03:19,integrated,,8.0,intel core i5,512.0,14.0,1 - 2 kg,0.0,,intel core i5,23749.95,4.4,https://www.hepsiburada.com/huawei-matebook-d14-2024-intel-core-i5-12450h-8gb-512gb-ssd-windows-11-home-14-ips-tasinabilir-bilgisayar-pm-hbc00005wjbqu,ips,,hepsiburada,,,windows home,1920x1080,paylaşımlı,onboard,"huawei matebook d14 2024 intel core i5 12450h 8gb 512gb ssd windows 11 home 14"" ips taşınabilir bilgisayar"
13.0,8.0,lenovo,gri,2025-12-17 11:03:22,integrated,ofis ve i̇ş,16.0,intel core i5,512.0,16.0,2 kg ve altı,0.0,60.0,13420h,24999.0,4.6,https://www.hepsiburada.com/lenovo-ideapad-slim-3-16irh10-intel-core-i5-13420h-16gb-512gb-ssd-16-wuxga-1920x1200-ips-panel-freedos-tasinabilir-dizustu-bilgisayar-83k20073tr-pm-hbc00009p0zn3,ips,ddr5,hepsiburada,wuxga,,freedos,1920x1200,intel uhd graphics,paylaşımlı,"lenovo ideapad slim 3 16irh10 intel core i5-13420h 16gb 512gb ssd 16"" wuxga (1920x1200) ips panel freedos taşınabilir dizüstü bilgisayar 83k20073tr"
2.0,,casper,gri,2025-12-17 11:03:24,dedicated_high_end,,32.0,intel core,,15.6,2 - 4 kg,8.0,,210h,50799.0,4.8,https://www.hepsiburada.com/casper-excalibur-g870-intel-core-5-210h-32gb-1tb-rtx5060-freedos-15-6-tasinabilir-bilgisayar-g870-210h-df60x-c-pm-hbc000095ghir,ips,ddr5,hepsiburada,,,freedos,1920x1080,nvidia geforce rtx 5060,gddr7,"casper excalibur g870 intel core 5 210h 32gb 1tb rtx5060 freedos 15.6"" taşınabilir bilgisayar g870.210h-df60x-c"
14.0,,gameraider,"siyah, siyah",2025-12-17 11:03:28,dedicated_high_end,oyun ve eğlence,32.0,intel core i9,1024.0,16.0,2 - 4 kg,12.0,300.0,14900hx,85999.0,5.8,https://adservice.hepsiburada.com/event/api/v1/track?event=sxb3ac9trvuzy01otjcyr0x0dwpxa1dynm9ady9tyuftbxrfdkzecff2qmrjwc9bvxnwngnnczv5qxbedm9ozflecxgru3dou2ltbzfxn2vtsy81ajvjafzjclqvtkxpvmlkwnnxtjhzby9fqutcukjdzm1orwvzdkdrs1vootn5augxd0ltsedkugp6z0fuelp0ui9bvzlxvhq2zljhaejqbklyzjk3bk9pd2vhznnraitjcm02sjfdy3hcvdnbeuzgrlk1u2t1bk1kbdrlr0rrsllmmdbitmlirjbtmjzlnuhaq3hycgxmtlbgbzzyd0wvrghyejg2blzab2vdztnsmxp0y3n4owkxnjjfehjudhfhdlnoenjrmexjc0tzs2k0bgqratzentfsszf1r0votjbmbm50tgp4c1bvylfntnrlr3a1dtl6ce5rreyybjfrceiwczkywjdxqkpztitnnxryqzjpukjxbzrzu1fwnfzwmhgwmzcwt1e4mklrdhllz0rcqvvyshppmzvtu1zpbjdhkzjqbzazchlmem8vmnntbghjmuo3slrvrlfmruhoshdwmmrnwhj4cgoxrllqnfhoumvps0o1q3hosxhntjj0txhht2jksw9pelp0dla1du9hmdjuvlzdnuxvvudjcxl2vgwvywxzakv1tezrmktcrgg0cgx4anzuum1cbhvxtvruazftcth1nkjhovz0azzfaw8=&redirect=https%3a%2f%2fwww.hepsiburada.com%2fgameraider-ignia-gr16-intel-core-i9-14900hx-32gb-ddr5-1tb-ssd-rtx-5070ti-12gb-140w-16-inc-2-5k-qhd-300hz-freedos-gaming-laptop-p-hbcv0000ar2cls%3fmagaza%3dbeta+plus+teknoloj%c4%b0&eventname=sp-click&platform=desktop,,ddr5,hepsiburada,qhd+,,freedos,2560x1600,nvidia geforce rtx 5070ti,gddr7,gameraider ignia gr16 intel core i9-14900hx 32gb ddr5 1tb ssd rtx 5070ti 12gb 140w 16 inç 2.5k qhd+ 300hz freedos gaming laptop
13.0,,lenovo,gri,2025-12-17 11:03:31,dedicated_high_end,,16.0,intel core i7,512.0,15.6,2 - 4 kg,8.0,144.0,13700hx,49999.0,5.0,https://www.hepsiburada.com/lenovo-loq-intel-core-i7-13700hx-16gb-512gb-ssd-rtx5050-freedos-15-6-tasinabilir-bilgisayar-83je00wgtr-pm-hbc0000azcran,ips,ddr5,hepsiburada,full hd,,freedos,1920x1080,nvidia geforce rtx 5050,gddr7,"lenovo loq intel core i7 13700hx 16gb 512gb ssd rtx5050 freedos 15.6"" taşınabilir bilgisayar 83je00wgtr"
13.0,,casper,gri,2025-12-17 11:03:37,dedicated_high_end,,32.0,intel core i7,,15.6,2 - 4 kg,8.0,165.0,13620h,59999.0,2.4,https://adservice.hepsiburada.com/event/api/v1/track?event=rzluctrieetzotezzenprffsejryl04ybtqznlzmbudjb1a0c0hlk0vjvetrvlzfdvk0nepcs2cxrfjkm29xveixrlnaoxu5d3zrv3rmbs9vrhc2rc91ug1yc0ttdnves0pite5lmwpsvwtjcepewvdcnmf1bw8rrwftce5ab0ftsi85tkvhmw1pcvbkzgreshrgmermtmwrudbkyvv1bnlleepxr0fqogkxustwvhp6mgdnowxszho0qkfazkn0evhjdke0wi9mt0vsk1u0ohrwevc5rnp0ww84qtjjckfsu052sfjudtfldvzqmdvrenjiuvrsl0ppu1hgzwrtsxrstur0benwm1iwvgzit1kxy051b3zvm0h4q29kdw01yvjvtxgvdnz5rtduy25xanorrghdzjdkz1ixl1kzwjvhn2vtvxlqbhhym3zqwwznmgdkb1g2uuxkq1vktkjdbzf3y2vtq1dxb3fzmzj1vvphyjnpv1vgzzbknxpwzuxjowlcztzusmvbyk5ecxnsm2llrjzqazrcuzm5ae5vsndoajrpbkjjaxpmogzqrjhrd2luutjjmvq1nxu1vlzbsw9wedfqyw9ibug3bufbti9qnhdawmvwu0dtmdfqmtrzwwlsvu1ychnkdhjzqjlqm1hoq0dlagxkdnnhngvfb0ftr1jwqupnqlbosnvavljju1rqymxovtzpaitnvupquzbwsevumwdfqjvlstewek5mukg2cdrll1j1qww=&redirect=https%3a%2f%2fwww.hepsiburada.com%2fcasper-excalibur-g870-i7-13620h-32gb-1tb-8gb-rtx5060-165hz-15-6-freedos-tasinabilir-bilgisayar-g870-1362-df60x-c-p-hbcv00008wf74z%3fmagaza%3dcasper+excalibur&eventname=sp-click&platform=desktop,ips,ddr5,hepsiburada,,,freedos,1920x1080,nvidia geforce rtx 5060,gddr7,"casper excalibur g870 i7-13620h 32gb 1tb 8gb rtx5060 165hz 15.6"" freedos taşınabilir bilgisayar g870.1362-df60x-c"
,,msi,"gri, gri",2025-12-17 11:03:39,dedicated_high_end,,32.0,intel core ultra 9,,16.0,2 - 4 kg,8.0,240.0,275hx,89999.0,5.4,https://adservice.hepsiburada.com/event/api/v1/track?event=tzdck0j1ow80bytnrwlowlnkqvrlnvhpsc9wqturdtvltvnjv0llefqymky0cxrxwgn1b3fycjdishpxuu1omtnizfrwwkngslbtz3h1tehrnulzvhdoskd1uxheqtjzewzneljkag91akhueg42wgovt1rvyzznetc3rzfxditiuko3wm1dbk0zyky1evd6y1rou3h3l2e1wtirdzuyqk9bckjpaedcehrmqkp0egkvsvfquhzuc1q1k3bmlzzouxpwbvrhuk13k0nmvtfuewjcrjc1nuh2uu9ztnzhutj6rwpqnlzsofnnzjfoogvez2qvqu04uet1ufvdne5gsstpn1rrn2s1dvy4dnrlawdrqjjquunqc3vvaetyde9mcstqamfsclryauphajvysdrvaerwnza1cwxwwnvuq2z5budtvs9tsfe2wllpwuc5zgtbrndobmz5rkpsn3jwogdoq09rcw1obmxqyvjtsffsv3jxajznqjc2zdzvwujqbuzwwxdsl3zht1jlovhiwu4rwtrat1redghzdg5wvvgyvnfadvlhuhjmblrrwkyyy052d3pvymdpu2jlnujztfk2tlo4b2xzuulzmlvlalzqqwt5m2pveugzdfzoymcwui9zvs95uvqraljgchhfactouzndazfra2z2nvrxyzhpamxkqtlsqxvsuxrtuk96mm1dtupwmzh4t0lasktgrzforgtxq0r2b2n5ujlqynfpndj5ynjmy1h3ze8=&redirect=https%3a%2f%2fwww.hepsiburada.com%2fmsi-crosshair-16-hx-ai-d2xwgkg-047xtr-intel-core-ultra-9-275hx-32gb-1tb-ssd-rtx5070-freedos-16-qhd-240hz-tasinabilir-bilgisayar-p-hbcv00008ragz8%3fmagaza%3dteknorya&eventname=sp-click&platform=desktop,,ddr5,hepsiburada,qhd+,,freedos,2560x1600,nvidia geforce rtx 5070,gddr7,"msi crosshair 16 hx ai d2xwgkg-047xtr intel core ultra 9 275hx 32gb 1tb ssd rtx5070 freedos 16"" qhd+ 240hz taşınabilir bilgisayar"
13.0,,asus,,2025-12-17 11:03:42,dedicated,,16.0,intel core i7,512.0,15.6,2 - 4 kg,8.0,144.0,intel core i7,50499.0,4.9,https://www.hepsiburada.com/asus-tuf-gaming-f15-fx507vv-lp139-intel-core-i7-13620h-16gb-512gb-ssd-rtx4060-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-hbc000063unrg,ips,ddr5,hepsiburada,full hd,,freedos,1920x1080,nvidia geforce rtx 4060,gddr6,"asus tuf gaming f15 fx507vv-lp139 intel core i7 13620h 16gb 512gb ssd rtx4060 freedos 15.6"" fhd taşınabilir bilgisayar"
