Başlık,Marka,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci,İşlemci Nesli,İşlemci Çekirdek Sayısı,Maksimum İşlemci Hızı,Ram (Sistem Belleği),Ram Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,SSD Kapasitesi,Harddisk Kapasitesi,Ekran Boyutu,Max Ekran Çözünürlüğü,Ekran Özelliği,Ekran Yenileme Hızı,Ekran Panel Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Lenovo Ideapad Slim 3 Intel Core i5 13420H 16GB 512GB SSD 15.3"" WUXGA IPS Freedos Taşınabilir Bilgisayar 83K1003MTR",Lenovo,Ofis ve İş,Gri,2 kg ve Altı,Intel Core i5,Intel Core i5,13.Nesil,8,"4,6 GHz",16 GB,DDR5,Onboard,Dahili Ekran Kartı,Paylaşımlı,Onboard,512 GB,Yok,"15,3 inç",1920 x 1200,WUXGA,60 Hz,IPS,Yok (Free Dos),2025-12-17 13:03:44,24.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-16gb-512gb-ssd-freedos-15-3-wuxga-tasinabilir-bilgisayar-83k1003mtr-pm-HBC00008O31RA
"Casper Nirvana S100 Intel Core i7 13620H 16GB 1TB SSD Freedos 16"" Taşınabilir Bilgisayar S100.1362-BF00X-G-F",Casper,,Titanyum Gri,2 kg ve Altı,Intel Core i7,13620H,13.Nesil,,"4,9 GHz",,DDR5,Intel Graphics,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,16 inç,1920 x 1200,,,IPS,Yok (Free Dos),2025-12-17 13:03:47,25.999 TL,https://www.hepsiburada.com/casper-nirvana-s100-intel-core-i7-13620h-16gb-1tb-ssd-freedos-16-tasinabilir-bilgisayar-s100-1362-bf00x-g-f-p-HBCV00007XO59V
"Casper Excalibur G870 Intel Core i7 13620H 24GB 1TB SSD RTX5060 Freedos 15.6"" 165Hz Taşınabilir Bilgisayar G870.1362-CF60X-C",Casper,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"4,9 GHz",,DDR5,Nvidia GeForce RTX 5060,Harici Ekran Kartı,8 GB,GDDR7,,Yok,"15,6 inç",1920 x 1080,Full HD,165 Hz,IPS,Yok (Free Dos),2025-12-17 13:03:51,54.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=YThyN1ZJR2hub2lVRXpOYUEwcytqMUp0RzN4NUk1eVZ4bk1ZclI2d1M1K3FkVGRySHR2d1pLcW82SmRTVXlGWE1BTWFkRkQ5NXg2cUxQTXNYK1NtR002b0FJOTh5UzJrcmtUMnp5bEdlTUw1V0Zka3Bub0ExTURqaTBkbFVZcGl5WkJPR1JaamNFTnN0T2hyRVZTdTNUekYwNmpUVTR0WjRDc2M3VkhvM2grMXV1d1J5WG5oN0dVejNsNXBqcVpYYmRrOGQzaFRnbFJCYy8zQ1lGbUNRM2ROZHdVN2d6VXZuam5ueXdtcjkxdyt2U1J3RzNBWXZTeFdBeFA3SEJiYnNjcEg4cXhieVBOSDhLb3dVZVRyMzJCclZjeUc5N2NZS1hRTHBOSXF0NDRoTVRxL3duSWFXci93YStoTGRNVjhML1ZabnNBTTlkSHNTSktZbzB1VDhPQ0RXNWkzbTF4UXQ0aHZKUzVTMkxuc203MHNTVEJFWGdlVEJBQldUbjRMSGUzV0NoL1daSWgyV0ZhQmU1Zk5xaFJKcVR4RGprRkc4eGc1TjZQdHJVUGJJYitNYVRrdGIrM2RFZ255eDdKV0RYYWVUbWxkTDlzSEFXNVR1cTJFUzduYWlWend0OTN5d0hsN1QwT2xldEx3TnpXNU5aMS9BcVoyVVNxT01BVkxrTGdVV2szdG53Wkp4c0U4V2F0NldBbld0eXg4dWxwelFhaFRkNnllY3NJ&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fcasper-excalibur-g870-intel-core-i7-13620h-24gb-1tb-ssd-rtx5060-freedos-15-6-165hz-tasinabilir-bilgisayar-g870-1362-cf60x-c-p-HBCV0000A9HHKX%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop
"Casper Excalibur G915 Intel Core i7 13620H 32GB 1TB SSD RTX5060 Freedos 16"" 165Hz Taşınabilir Bilgisayar G915.1362-DF60X-C",Casper,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"4,9 GHz",,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,16 inç,1920 x 1200,Full HD,165 Hz,IPS,Yok (Free Dos),2025-12-17 13:03:56,57.499 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=bnV4N1BtOGFOaEtERnBlazc3NkdneTBaekQzT2ltWENxaXZNL0JRRTdDTVdRb2FrTjV5YWlOaHpPcWczbzF6YzBPaSt2NTBPa0dZREtMOUgvWlNzb1o0SGVvSEE2dTNHaWtRSzlxd0t4aVFoREJuYkxuclI3Z3dPQ1JCQUJoMWRsNXdySE9udFlRcU5LWWRueklKOUJZVTErdjlNdm1vajkxOFh6QXIzN1pDRzlXWlFEaEtJZmMzcjhHczI5c0p6dlRqZ2ZxakRBS09aZC9SdTdnbXJLMFJlV2hMU04yQW1lb2V3dm9GUXA0YWFtTDdlRnFDTkpFVGRjYnhQRHdGWkRzcmlxZ3Jiclo0UTllOGV3QnBXNS9Xb2dHb3VqQjNFVjVWdDcvTDR5WDN5c2d3bjdIS2taWmhkdThQOTN2RllTTWNBbDNPWWxIVmZKYXdGbUYrbElHWGlabFA3M1I4WWFnZnoxVndOdXR0MlpVREVRaHc3WGwxOTJESjg1TmFBQXowUllybzMveisrdUw1VWVseGE4WUhISTEwNUtSRE12VHpDZE84N2xnMndqSmR0WHNHMEdmU2hpTjZmNDVZOXNOejJ4aklMQ0JKMFNPRyt5Vjd4Nks4Y1VPL3lGbTFpZHBuQVhxVkFiVVR5eGZmcyt6UjhCQlM1R3VDcm82YSt2c3NIUGN5eVRic3lDRXlYRlZWRTBnOW8zS3BCQzExS0hYZC9xZE9jUGQw&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fcasper-excalibur-g915-intel-core-i7-13620h-32gb-1tb-ssd-rtx5060-freedos-16-165hz-tasinabilir-bilgisayar-g915-1362-df60x-c-p-HBCV00009QZQBQ%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop
Acer Aspire Lite AL16-54P Intel Core i5 1334U 16GB 512GB SSD Freedos 15.6'' FHD Taşınabilir Bilgisayar NX.D76EY.001,Acer,,Gümüş,2 kg ve Altı,Intel Core i5,1334U,13.Nesil,,"1,3 GHz",,DDR5,Intel UHD Graphics,Dahili Ekran Kartı,Belirtilmemiş,DDR5,,Yok,16 inç,1920 x 1200,,,LCD,Yok (Free Dos),2025-12-17 13:03:58,"21.269,99 TL",https://www.hepsiburada.com/acer-aspire-lite-al16-54p-intel-core-i5-1334u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-nx-d76ey-001-pm-HBC0000A10UR2
"Lenovo Ideapad Slim 3 AMD Ryzen 7 5825U 16GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82XM00U4TX",Lenovo,,Gri,2 kg ve Altı,AMD Ryzen 7,5825U,Ryzen,,"4,5 GHz",16 GB,DDR4,Onboard,Dahili Ekran Kartı,Belirtilmemiş,Onboard,512 GB,Yok,"15,6 inç",1920 x 1080,,,TN,Yok (Free Dos),2025-12-17 13:04:02,21.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-amd-ryzen-7-5825u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82xm00u4tx-pm-HBC00008O199X
"Casper Excalibur G870 Intel Core i7 13620H 16GB 1TB SSD RTX5050 Freedos 15.6"" 165Hz Taşınabilir Bilgisayar G870.1362-BF50X-C",Casper,Oyun ve Eğlence,Gri,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"4,9 GHz",,DDR5,Nvidia GeForce RTX 5050,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,"15,6 inç",1920 x 1080,Full HD,165 Hz,IPS,Yok (Free Dos),2025-12-17 13:04:05,48.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=L2NIQU54UXJDR0hFSWxZUk9ycFdndG8ySmVBNEI2MFNxVU83R2pkenY3QldOSWtQY1lpL2VaOFdOQi9odEQ0MlV1SU1mMEUzVDZWclJVcFIzampTZ2VodDFaV0x6bTNmdzF4cEpxWENWenRqSzl2OUp1ZWlkZHNmM0tUQnM3QWwrYlJRM0h1UnkrOWwxUzhtMURyQW00aWlrSDRydDZXTngrTDNxa0lpbEpIQ2dHR0pTZFpjWDVKcmF2cnpobFEzdG5DWDgrN2hCRUQvQlBRelNqRWE5NTNpOTNpdVpudVlsZEZWdGl6MFZtTlNXQzB2cGkvUStlSkhFTnpNSUl2SWswMkFJS2lxK0V6bjUzS1I4cDl6bTQ5b3lLS1hqUUs2L0NzM3c0RXFaaG4wNm5XMGJHNXBjOFp1UWZhKy9IL1RWdmRYY3A3aFhkZlVUdEtCYzBPaWE1RjMrSmNGQjMyM3hxL2RvTEVneHlPSFlkTjlkdldMSHkrYVVzRDU3aTlQdXNtUWpFWmRZeWxYL3JOTWFoSkppV2ZQWERjcGxwaUZDSG5OYXdjUDI4NDhISG9tWHhaSUFBUHJ4d21DeVVHd2FHRTVxbmpjdzBQenVvNVdxalhrUFJVWjNlRU1FQlg1M0ZBZEJCRFZTTWRmTFBJVGk4UktrTmExM1pOU3NUQmpxN0V5UEMrRWY2NWRobDdsMENXMXpIRExUa3lVSHFIbzkyeVJMVUMrZlE=&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fcasper-excalibur-g870-intel-core-i7-13620h-16gb-1tb-ssd-rtx5050-freedos-15-6-165hz-tasinabilir-bilgisayar-g870-1362-bf50x-c-p-HBCV00009I2H2L%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop
"Casper Excalibur G870 Intel Core i7 13620H 32GB 1TB SSD RTX5070 Freedos 15.6"" 165Hz Taşınabilir Bilgisayar G870.1362-DF70X-C",Casper,,Gri,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"2,4 GHz",32 GB,DDR5,Nvidia GeForce RTX 5070,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,1 TB,Yok,"15,6 inç",1920 x 1080,,165 Hz,IPS,Yok (Free Dos),2025-12-17 13:04:08,62.799 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=R0ZVL3BmZTQ3WEpqeGtMNEUyQXJFYm04Z0VHYzcvbE9YdC9qdHJPMndMenNtR3QyRjlOWUpOVDlXYmM4Y3FJeWNjQkVjQXI3aUtxVXNGUjljdlJCTGFYL0JLUFFycW9HNzllMmU0YXBJTW9nTUlNeUZFMG1tMFdQdVhSQTlXSGgzRkNQdEpHVEM3S3FwSXRCUWxUTHpzY1djYXd1ZWo1ejRpNzNVUnlpTkE0YTZuMnZwVmxET3JnY1hTUTBacWxnMlBBVWQ5OFJOWHBxZ3RhRDhGSUhvSEErZGdyR2d3aE9BaDVNZSswUzFyZ0Jxb3hQV1o2cmh6ZHlkSy82OXNoTmNsNmIvNzNydjNLazRvWno3cjZOOXNCSTB4NDhUWUNJUnc2TEdiUWEyOWN1N3EzdkVtL3gxY0VCUlBCeWppZU5jbzZxc0Z5R1RwZERBZFRDUXdKUHAwSHpEbGMxbUY4NzNvNldVdHRzZ0JQQmFBUERCMWcrU2ZDZ2VJNHFyeUZHdDdGclRCQWc5bk81c293U0dDL2xIdHByd3phTkEvcFJiYU5pVFEzVlkxUW9NTkljbktQNVFaY012THU3Z0hUT2ZwRWpkd1BZQ0lQTGF2VllMV20vVzc0bjVzMTBWWU5ucng1WnIzWlB5aVJQVzRBZVVpdVppbUc5VVZBSno3NE9iZDJNNmk2N091S3UranBTbjFIejVUclNUS2V4UGVaNjdyZmJ1Y3gyOFM0&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fcasper-excalibur-g870-intel-core-i7-13620h-32gb-1tb-ssd-rtx5070-freedos-15-6-165hz-tasinabilir-bilgisayar-g870-1362-df70x-c-p-HBCV00008WF75J%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop
"Casper Excalibur G870 Intel Core i7 13620H 16GB 1TB SSD RTX3050 Freedos 15.6"" 165Hz Taşınabilir Bilgisayar G870.1362-BFJ0X-C",Casper,Oyun ve Eğlence,Gri,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"4,9 GHz",,DDR4,Nvidia GeForce RTX 3050,Yüksek Seviye Harici Ekran Kartı,6 GB,GDDR6,,Yok,"15,6 inç",1920 x 1080,Full HD,165 Hz,IPS,Yok (Free Dos),2025-12-17 13:04:13,37.599 TL,https://www.hepsiburada.com/casper-excalibur-g870-intel-core-i7-13620h-16gb-1tb-ssd-rtx3050-freedos-15-6-165hz-tasinabilir-bilgisayar-g870-1362-bfj0x-c-pm-HBC00009HRI6V
"Lenovo Ideapad Slim 3 Intel Celeron N100 4GB 128GB Windows 11 Home 15.6"" FHD Taşınabilir Bilgisayar 82XB009GTX",Lenovo,,Gri,2 kg ve Altı,Intel Celeron,N100,İntel N Serisi,,"3,4 GHz",4 GB,LPDDR5,Onboard,Dahili Ekran Kartı,Belirtilmemiş,Onboard,Yok,128 GB,"15,6 inç",1920 x 1080,,,TN,Windows 11 Home Single Language,2025-12-17 13:04:17,9.599 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-celeron-n100-4gb-128gb-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-82xb009gtx-pm-HBC00008O183I
"MSI CYBORG 15 A13VE-1252XTR Intel Core i5 13420H 16GB 512GB SSD RTX4050 Freedos 15.6"" FHD Taşınabilir Bilgisayar",MSI,Oyun ve Eğlence,Siyah,1 - 2 kg,Intel Core i5,Intel Core i5,13.Nesil,,"4,6 GHz",16 GB,DDR5,Nvidia GeForce RTX 4050,Yüksek Seviye Harici Ekran Kartı,6 GB,GDDR6,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,TN,Yok (Free Dos),2025-12-17 13:04:21,36.599 TL,https://www.hepsiburada.com/msi-cyborg-15-a13ve-1252xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00006IUW8W
"MSI THIN 15 B13UC-3074XTR Intel Core i5 13420H 16GB 512GB SSD RTX3050 Freedos 15.6"" FHD 144Hz Taşınabilir Bilgisayar",MSI,Oyun ve Eğlence,"Gri, Gri",2 kg ve Altı,Intel Core i5,Intel Core i5,13.Nesil,,"4,6 GHz",16 GB,DDR4,Nvidia GeForce RTX 3050,Harici Ekran Kartı,4 GB,GDDR6,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,FHD,Yok (Free Dos),2025-12-17 13:04:32,"30.798,99 TL",https://www.hepsiburada.com/msi-thin-15-b13uc-3074xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00008QM2JK
"Huawei Matebook D14 2024 Intel Core i5 12450H 8GB 512GB SSD Windows 11 Home 14"" IPS Taşınabilir Bilgisayar",Huawei,,Gri,1 - 2 kg,Intel Core i5,Intel Core i5,12.Nesil,,"4,4 GHz",8 GB,,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,Onboard,512 GB,Yok,14 inç,1920 x 1080,,,IPS,Windows 11 Home,2025-12-17 13:04:41,"23.749,95 TL",https://www.hepsiburada.com/huawei-matebook-d14-2024-intel-core-i5-12450h-8gb-512gb-ssd-windows-11-home-14-ips-tasinabilir-bilgisayar-pm-HBC00005WJBQU
"Lenovo Ideapad Slim 3 16IRH10 Intel Core I5-13420H 16GB 512GB SSD 16"" Wuxga (1920X1200) IPS Panel Freedos Taşınabilir Dizüstü Bilgisayar 83K20073TR",Lenovo,Ofis ve İş,Gri,2 kg ve Altı,Intel Core i5,13420H,13.Nesil,8,"4,6 GHz",,DDR5,Intel UHD Graphics,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Yok (Free Dos),2025-12-17 13:04:45,24.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-16irh10-intel-core-i5-13420h-16gb-512gb-ssd-16-wuxga-1920x1200-ips-panel-freedos-tasinabilir-dizustu-bilgisayar-83k20073tr-pm-HBC00009P0ZN3
"Casper Excalibur G915 i7-13620H 32GB 2TB 8GB RTX5060 165HZ 16"" Freedos Gaming Laptop G915.1362-DX60X-C",Casper,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"4,9 GHz",,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,16 inç,1920 x 1200,Full HD,165 Hz,IPS,Yok (Free Dos),2025-12-17 13:04:49,68.499 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=dkt0R055dU1XUWFnUWVWMjU2M0xsNUNCSlVuL29JQUJkaXNFd2RDcHZuckdMZlEwZ3dBOUNrUHhVRmlxUG9CMTJLY3dRQS9LbTEzMkN6ZE9QWDNUS3UvelJRK2x0cmNhaDJ6OFRRSEM3MjNXaFF5Tjg5T1hQVUtIKzExRG40OGVVYXBFNFNqbVYxTUJDN1hpZkxKQkh2VGtMQkpQUE9jUHV2NFlWYWt0Tm1pNmxPei9RUEs4bE1UOGZBRi9QMVhERkpGNUlRalBTcUVzbVVmSGExZGZzSnVvbFVDZ0NMRlpCYmtoN3IrVTdCWnh2NkVodGZVSVdTeUdMNnhhTU53bEZSN25FeDVuMk9rc3FzcytjMGlJNVJYQ3ErZEF0VnpURWsza0pLei9MSWZFNVZGT0kvQ3I3d0t5aGxxcllzVDk3eFVvUmM0cDIrZnpBVHkzTUw2Y3gzUTFIbWQxbTdGdDh4WTN4cVU2RCtCRGJKUWZuY25DcTNBSWVaa294Q1NQaTl5YWd4YlQ2c0JZRXdidSsrOFAyM0NsNVJYTDZyeWFCbDVQTWQ2RnNFTXJ0WTZyYjd6VkN3b3VRcTVVK1hpaDZReWh1Wkd6NkZQRHovL05wMDNyOC9kVkRQb2UrNlczeW1Md3paUjJCQ0NPUDJXS2xaQThZQUgvWnNtR0cydVdaYlVrdHdsMUNWdktRRWFuYk1peElqUkFrTVRxRW9KSERTRE5pWW15VVRZ&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fcasper-excalibur-g915-i7-13620h-32gb-2tb-8gb-rtx5060-165hz-16-freedos-gaming-laptop-g915-1362-dx60x-c-p-HBCV00009QZQHI%3Fmagaza%3DCasper+Excalibur&eventName=sp-click&platform=desktop
"Casper Excalibur G870 Intel Core 5 210H 32GB 1TB RTX5060 Freedos 15.6"" Taşınabilir Bilgisayar G870.210H-DF60X-C",Casper,,Gri,2 - 4 kg,Intel Core 5,210H,Series 2,,"4,8 GHz",,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,"15,6 inç",1920 x 1080,,,IPS,Yok (Free Dos),2025-12-17 13:04:51,50.799 TL,https://www.hepsiburada.com/casper-excalibur-g870-intel-core-5-210h-32gb-1tb-rtx5060-freedos-15-6-tasinabilir-bilgisayar-g870-210h-df60x-c-pm-HBC000095GHIR
