Başlık,Marka,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci,İşlemci Nesli,İşlemci Çekirdek Sayısı,Maksimum İşlemci Hızı,Ram (Sistem Belleği),Ram Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,SSD Kapasitesi,Harddisk Kapasitesi,Ekran Boyutu,Max Ekran Çözünürlüğü,Ekran Özelliği,Ekran Yenileme Hızı,Ekran Panel Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
Gameraider FLUX GR16 Intel Core i7-14650HX 64GB DDR5 2TB SSD RTX 5060 8GB 115W 16 inç 2.5K QHD+ 180Hz FreeDos Gaming Laptop,Gameraider,Oyun ve Eğlence,"Siyah, Siyah","2,2 kg",Intel Core i7,14650HX,14.Nesil,16,"5,2 GHz",,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,16 inç,2560 x 1600,QHD+,180 Hz,QHD+,FreeDos,2025-12-17 13:04:56,79.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=NWE3dDBQWkNJV3JNdXdzVkxtaUhaMEZXZ3UrYUc3TUcydXhqQ01Nc2I0anQwVko5T1R6Qm00YmpRQVdDZUlnWVJaOTM1SmVYbFpvMVc3Q0pENHZzVnFvcjE0ZXovSkMyNDdybUYyTm5wTkE2NnZFYWExQ1lIYVArdFJCb1IvcGFwMFlmckJpU3JGVHF6VUhjUnlnSUhNaFpuSUhtdVhIOFFjVGdWbkF5S2ZDdTlLa3pVYURtUE5UUFFZNWc0bGtPVXp2aWdiczVINTFCUWNyMzVRRkhRQ3hQbnRsY29HdmxtTWVrSkEvSEplZ2RnMGdiaDZ1ZFN5Vnk5ellmRUJLUjVRTjNkOFNxZk9XU3lNbENGKzZtbzliY1BFS1F4NEtLWTV1eUF5bnNVWGY1MzMvektrRDJTbFZSRGRCTm5ydDZBVU1PckhPUFdvcHM1NnVDRHErVW5hSVIvQVY5ZFVnRlhId2cyeDJLRXlvQkdDNW1FT3pGMmsyRWV0bEFnWnlMbEQ1UG9lK25hYzNDUFBrVjZZbUZ0eU4wamxWS1h0QlU3R3JvcXhjZGpCV1BsTjFNa05jWXZJSzJCUnhKTGFzeGlvODZKMmRGOW1nb1hCbGQ0Y1ZkbGhRcXg2aEY3NE9hSEpiSEx1WUpMMzgrMlprUnh1WnkwOUI2NUlOUHM4alkwZ2ZEZ2ZwM0VtQ1FhVVh2Z1Zid2IxbXVNUVQzRkVTQUkxazlvWVJuWVMw&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fgameraider-flux-gr16-intel-core-i7-14650hx-64gb-ddr5-2tb-ssd-rtx-5060-8gb-115w-16-inc-2-5k-qhd-180hz-freedos-gaming-laptop-p-HBCV0000B0JFPG%3Fmagaza%3DBETA+PLUS+TEKNOLOJ%C4%B0&eventName=sp-click&platform=desktop
"Lenovo LOQ Intel Core i7 13700HX 16GB 512GB SSD RTX5050 Freedos 15.6"" Taşınabilir Bilgisayar 83JE00WGTR",Lenovo,,Gri,2 - 4 kg,Intel Core i7,13700HX,13.Nesil,,5 GHz,,DDR5,Nvidia GeForce RTX 5050,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,IPS,FreeDos,2025-12-17 13:04:58,49.999 TL,https://www.hepsiburada.com/lenovo-loq-intel-core-i7-13700hx-16gb-512gb-ssd-rtx5050-freedos-15-6-tasinabilir-bilgisayar-83je00wgtr-pm-HBC0000AZCRAN
"Apple MacBook Air M4 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Gök Mavisi MC6T4TU/A",Apple,,Mavi,2 kg ve Altı,Apple M4,Apple M4,Apple M4,,Yok,,Belirtilmemiş,Onboard,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,13 inç,2560 x 1664,,,Liquid Retina Ekran,macOS,2025-12-17 13:05:02,48.499 TL,https://www.hepsiburada.com/apple-macbook-air-m4-16gb-256gb-ssd-macos-13-tasinabilir-bilgisayar-gok-mavisi-mc6t4tu-a-p-HBCV00008749EE
"Asus TUF Gaming F15 FX507VV-LP139 Intel Core i7 13620H 16GB 512GB SSD RTX4060 Freedos 15.6"" FHD Taşınabilir Bilgisayar",Asus,,,2 - 4 kg,Intel Core i7,Intel Core i7,13.Nesil,,"4,9 GHz",16 GB,DDR5,Nvidia GeForce RTX 4060,Harici Ekran Kartı,8 GB,GDDR6,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,IPS,Yok (Free Dos),2025-12-17 13:05:04,50.499 TL,https://www.hepsiburada.com/asus-tuf-gaming-f15-fx507vv-lp139-intel-core-i7-13620h-16gb-512gb-ssd-rtx4060-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC000063UNRG
Gameraider FLUX GR16 AMD Ryzen 9-8940HX 32GB DDR5 1TB SSD RTX 5060 8GB 115W 16 inç 2.5K QHD+ 180Hz FreeDos Gaming Laptop,Gameraider,Oyun ve Eğlence,"Siyah, Siyah","2,2 kg",AMD Ryzen 9,8940HX,8.Nesil,16,"5,3 GHz",,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,16 inç,2560 x 1600,QHD+,180 Hz,QHD+,FreeDos,2025-12-17 13:05:13,63.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=MlVvaEFIQTI2T2prdm9oL0JUaW1LNHNYT2FvOSsxN2NzUDdtTGhVWmZaZWV3L3pxK245cDYxR0krTHpOVHVlR0pKSHBsVkMxTkpMOUdtS05xTjVqNk9XYmRGeENXelZCVVpFV1B1azlxODZxWmdUa0kzc251K2VweUtxU1AzOEIwenp3Vy9RcjNCQXpOUlpQdnh0OElHV1FzOWtxdmNuN3A0eTJybVZMMGlQSHY5dmFiclVNcGxSWVpuV2lVZTB1MTdWbFZEU1NEaG9wSkx4VTlUN0VQdFF1ODFGZ1FHeHRMYkNwQ1BXNnRtamlNQjRTemFVRUpPWnQ5T0Qyb2lnUG1YaTVIZ0oyaTN1OGl2Y0EyTGVRSXAwci9NSkdSeVRFYkZ6dGdXVWRVbER1OWtTVzBwSkRVUVZwMUk3NWsxOUdCRlhMYUpHb1NmbWt6c1NZSmlYZnZhUzZJSXdZdVd1QUgrU3JhenVwcE5yWGRUbjlCSzhZN0JFRDhWTUk3U3lRV1V2S2ozZHMwY01HT2lRTmd2YitTV1pGNDI1YWFkcHRuREJCOWlZNzgwdmo5TzNoUWFuS2dTUFQ3bGlDVU5aam4wMitIcVFRTFd5a0lXcGRUUk1obExmS1J4VklDK0NGcVJNeXJsNUlUbG1JR0pITDZ4YVNTSldFb2VUZ0lNa1h4SmdxREZxdGVaa2xLbllRMC9SaWNqdjgxSngwWHBibTVTb3JiMmZYUnhz&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fgameraider-flux-gr16-amd-ryzen-9-8940hx-32gb-ddr5-1tb-ssd-rtx-5060-8gb-115w-16-inc-2-5k-qhd-180hz-freedos-gaming-laptop-p-HBCV0000B0JQAX%3Fmagaza%3DBETA+PLUS+TEKNOLOJ%C4%B0&eventName=sp-click&platform=desktop
"Game Garaj Slayer X7T-5060 C2 Intel Core I7 14650HX 32GB Ram 1tb SSD RTX5060 16"" Qhd+ 180Hz IPS Freedos Oyuncu Laptop",Game Garaj,Oyun ve Eğlence,"Gri, Gri",2 - 4 kg,Intel Core i7,14650HX,14.Nesil,16,"5,2 GHz",,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,16 inç,2560 x 1600,QHD+,180 Hz,IPS,Yok (Free Dos),2025-12-17 13:05:16,60.999 TL,https://www.hepsiburada.com/game-garaj-slayer-x7t-5060-c2-intel-core-i7-14650hx-32gb-ram-1tb-ssd-rtx5060-16-qhd-180hz-ips-freedos-oyuncu-laptop-p-HBCV00009MEIBK
"Casper Nirvana S100 300NIT i7-13620H 32GB DDR5 1TB SSD 16"" Freedos Laptop S100.1362-DF00X-G-F",Casper,,Titanyum Gri,2 kg ve Altı,Intel Core i7,13620H,13.Nesil,,"4,9 GHz",,DDR5,Intel Graphics,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,16 inç,1920 x 1200,,,IPS,Yok (Free Dos),2025-12-17 13:05:19,33.899 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=VUhycUJhWWNNaVBYY3VqaUxMaURjQVNZL2dJSzhUdDN1QzVneFdnQ05IVHR1bnFtUnBJczc5UHpjWmZTbXZLQnB5UUl5MmFTRlBWekcxSndDVmJSOGV4RC9vQmY1UkZJOTIzc0ErN1Z0VVZWT05jMFErRWxVWTFZZUtEQy9mWUZDNWZFWFhnUFNjSjgwYTJTSlVFVTJQd3BqR1NvOVhaSkhseXlsRFpPVk82UWtITUlVSWlDSG8zTG8xeUd4ZnF4V3JuWTl3MEo0NEF5TGpSOFZEbExnVXpubFowVUpwUTBjTVBsNUFtN3E4VGlCYlBaZDlnYXV5ckpFRkF4ZUgyMFJzYll2VW5YTmZtbGw4aVp4K3FacmZEcTJwbHh0dWFEdkJEeG5qRjVBbjhmR1M0c2NBUnJlYnc0cWhSOXNpK2JzSFFFamVPWHk3QldnTERFVVF2U2lCUXc1bVlKeFM2d3RWbXNQT0lJWUw5QW1CVkhtQ2JSWDRkc1Uza0RZN1lzb3FwNWNnSGtDMXVvTnZyVFE2L2hmbXY4Rlo1eXJTdE04UW9sSGh3WldaSWlGS0o3WGppYUdJOE1jR0cxYXgvM0FvaUpVTlE1S3pJVVNhdUpqbUlVTTZGVUsyalk0ejZXOC90WnVhZ0lFTnZlSnlIL0RGeGpPWWNFanJEUTNUSHVYUktYWkpkakgzQWE4Y2YydTlzemhDYVBzczZGcFZPdEJkRkxjMjQwTzZ3&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fcasper-nirvana-s100-300nit-i7-13620h-32gb-ddr5-1tb-ssd-16-freedos-laptop-s100-1362-df00x-g-f-p-HBCV00007XO5VN%3Fmagaza%3DCasper+Excalibur&eventName=sp-click&platform=desktop
"MSI CYBORG 15 A13VE-1478XTR Intel Core i5 13420H 16GB 1TB SSD RTX4050 Freedos 15.6"" FHD 144Hz Taşınabilir Bilgisayar",MSI,,Siyah,1 - 2 kg,Intel Core i5,Intel Core i5,13.Nesil,,"4,6 GHz",16 GB,DDR5,Nvidia GeForce RTX 4050,Yüksek Seviye Harici Ekran Kartı,6 GB,GDDR6,1 TB,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,TN,Yok (Free Dos),2025-12-17 13:05:25,37.799 TL,https://www.hepsiburada.com/msi-cyborg-15-a13ve-1478xtr-intel-core-i5-13420h-16gb-1tb-ssd-rtx4050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00006Y8KXN
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,19.499 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-amd-ryzen-5-5625u-16gb-512gb-ssd-freedos-tasinabilir-bilgisayar-15-6-fhd-tasinabilir-bilgisayar-82xm00pwtx-pm-HBC00008O18WJ
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,56.999 TL,https://www.hepsiburada.com/lenovo-loq-intel-core-i7-13650hx-24gb-512gb-ssd-rtx5060-freedos-15-6-fhd-144hz-oyuncu-tasinabilir-bilgisayar-83je00ertr-pm-HBC00009PYKX2
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,"67.924,05 TL",https://adservice.hepsiburada.com/event/api/v1/track?event=OFU4dVE5TlB2Y1FDUDU3ZnFBeFlRbzN2MkdRTWdQa0RYdHhWN1I4U0hnbi9VZmgvb1lLUytUSlBMeVNkaUszNDFONTUxNmdkcVVpeStsb0hvdXovbFJmbkpFZTBDL1RtOTNEZUNKZXJLRVp1d2x4aFR2bkxwbjBzeGFkT3Fac24zUXpzUmk0dlprOE1lcWo5YUVsRVpQekJTa0x5NktMaWF5alhSc2VQNHdYYVJDNHFrbGFTYkFGRWRtNXU4VlIxa1RHVCs5cGZqZHVCYVdIanNPeHhONUl6Q0hQMVZMZzROSG93RnhCSE1ncXU5alU3dHZxazJyMXAwZ05pcnVGNEFWME9ZRDJqUUN3cjF2RDVBaVlBSjNxbTYvVk9YT3lBS0lEeldCYzJ0Z0Z3V29KRVpvQVEzclFrVlJWc3g2dnovUVU0RTNxZVZRaHJzQnRGVnpKVTFyclRsWXI4ekRlRmlFdjVQZDh0NTROUEQzQ0c5c3hiTDZ1M0M0bFFQZHVYdG1aNHNmRjc5Q0lqbC9NWHdDMzhGSEhBSVVkRW1VRUR5amxQYXFYK1lBTmpZclBRU1BMMlhBdmpDd0Z3ZjdyeS9LaVVISThBczFRTHhnQy9wdmJWMFJuYU5qbFlrRTBiUVRrM3Jzdmd0UE1GM0ZieGV6dGx3MlBsMUM4T3RNczRKS091OHRhOTlsRDJpS0lVdlFhVDZONno1dHgzbzhaUGxqTWRiR2VqTzQxQTZaalJoOHBudkFLRG54VEFKSXEz&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fmsi-katana-15-hx-b14wfk-817xtr-intel-core-i7-14650hx-16gb-1tb-ssd-rtx5060-8gb-freedos-15-6-qhd-165hz-tasinabilir-bilgisayar-p-HBCV0000AI3RNW%3Fmagaza%3DEbrar+Bilgisayar&eventName=sp-click&platform=desktop
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,25.199 TL,https://www.hepsiburada.com/casper-nirvana-x650-intel-core-i5-13420h-16gb-500gb-ssd-freedos-15-6-tasinabilir-bilgisayar-x650-1342-bv00x-g-f-pm-HBC00007MJN44
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,38.999 TL,https://www.hepsiburada.com/apple-macbook-air-m2-16gb-256gb-ssd-macos-13-tasinabilir-bilgisayar-gece-yarisi-mc7x4tu-a-pm-HBC000078JE62
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,102.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=amFZLzBKWEhQTW1RczJoa1lIRlRrS2IwQXNIVmJndktPRlBRTmtGTFpPdXRzU0g0L3BPaGJ4QWFCRHJ4SVRMVE1xbnFhWHRiWmJrUzZHVmtXeWc1M1grZXM5RURjbE84SlBHMSsrR1AzQTZHV3ZkUkMzWGYrMHMwd3Z4UG44RldEOXc5VzVNcXRDdzN4Q29kQkVNQUFtRmVHcTRFMHUxazA5OHZQOXZ3VUptcUNoWHVLU3JUc3Y1MnhZdmE2WGppc0NkSnFPYURRWEZUclRmMG1xbytSeWFMNUt1d2c5WVFoYWtxWmE1ekNIT24wcXIxRVlLejdSbDZqSFAyWDZqRVFIMzVRR1NqVlBkMHJvZml1azVkQURHaEx5TVJ2cGJFc1NxTnM0YndSSE10eDhEUmtNbWU4Y3hNVnZwYURiODZwbGRUWXFYQkpURG4xWHlVajR0Z2hGaW5pdktiYmlIRWxKeGxGSWFsRytKZDZxcGlxb3VIR3hmcEs1NDU0R2x6MndOcVMvalBabkN5RXNWQUhMc0JjdjZGZG5TUG1TcGJTYUIvYjFLOEI1Smlwa3BSd01JNTd1QTBKMlI2dDRudVZBdjBTK0dKR0p5eEY2WVpram5DZFMxT2Y4VHV2UWZmZHhJTDFDRmpPZzJ0aDZFVXk4ZU1GdzhwMDB5b2hwbm5ORVBZVWh1dFVoRTRiQ3MzODZocEg5WHk3MmlRRnAvdkhweE5YZWVRY1VueFZDdUZ1VWtRZEJlK1NsbUEyeHc=&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fmsi-pulse-a17-ai-c3xwgkg-020tr-amd-ryzen-9-ai-hx-370-32gb-2tb-ssd-rtx5070-windows-11-home-tasinabilir-bilgisayar-17-qhd-240hz-tasinabilir-bilgisayar-p-HBCV00009DKMUM%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,85.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=RzJGZDkxMVlhaTA2VHJpd3B4ZHF6ZEQwNnZJaUdCLzRGaWFVRE4wRmVBM1Brb1BkMGZIK2p5MnlubWNtRzhqa04rUkJVU2U2UzdHSDdkT0dhWUprb0s1Y2d0dHZKLy9hM3RycEZEanZmTjU5RVVaajdHQm9aRnQyS2ZVRlhhZFMxb2IxcXBZWHhNTWhTOW5sOEtUTllDcHZuZ21zRkJVMDh5S29MU2dCRkVUOEsxRU5jRDFLUmVRekVtZW5GbTA0bUFZWDlzZ0RuT1BSYVI1b0pDREdEdWI5Q1pXWXE3RGdOUTcvUERoaUdxRFhTWE1ub1VLZEVIRWhuT0VrSHR4anYyM084dFRZUVBGWEM1WWxTbngxMUtoNVdPOWhhcytmdk9DdW1CZzByYytLWk9tOUFVdnlEeTlhTTlLS1A2QnJvbUZ2TkRwbnZQeHUvdW1xL0tjRkVtNDJnYktuRGE3WjZtczdNcVdXNDZlQUFuOXdyWUZuNTFWbXNlaUoyaDhZSWp0M1p4aGJKQkNnVzZvY01PcVhFbkhaWW4vMjcrZXIwRGtpOHJ1VmFnKzRkeFZVRElCb085SWRIbnN3ZWRqUVdkNmorcWkyRGcybzZGOTVrVlRjdjBvdGppcjVSZ1VpeWo4QUxPbmpmWEMzbFNibEM3YzZOY29QLzRGL2JVV3ZNR0VvTG9wTmQ5MkZnc1g4WVRkbVdobzRoeGJxK2V4UmxlWjhBa1VjVmdR&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fgameraider-ignia-gr16-intel-core-i9-14900hx-32gb-ddr5-1tb-ssd-rtx-5070ti-12gb-140w-16-inc-2-5k-qhd-300hz-freedos-gaming-laptop-p-HBCV0000AR2CLS%3Fmagaza%3DBETA+PLUS+TEKNOLOJ%C4%B0&eventName=sp-click&platform=desktop
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,49.440 TL,https://www.hepsiburada.com/apple-macbook-air-m4-16gb-256gb-ssd-macos-13-tasinabilir-bilgisayar-gumus-mw0w3tu-a-p-HBCV00008748TX
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,9.599 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-celeron-n100-4gb-128gb-ssd-windows-11-home-15-6-tasinabilir-bilgisayar-82xb009htx-pm-HBC00007GPS68
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,"42.749,05 TL",https://www.hepsiburada.com/lenovo-loq-intel-core-i5-12600hx-24gb-512gb-ssd-rtx4050-freedos-15-6-ips-144hz-tasinabilir-bilgisayar-83gs00p6tr-pm-HBC000089C0HI
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,43.699 TL,https://www.hepsiburada.com/asus-tuf-gaming-fx607vu-rl017-intel-core-5-210h-16gb-512gb-ssd-rtx4050-freedos-16-tasinabilir-bilgisayar-pm-HBC000086T6TH
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,42.999 TL,https://www.hepsiburada.com/hp-victus-gaming-laptop-15-fb2003nt-amd-ryzen-7-8840h-16gb-1tb-8gb-rtx4060-15-6-freedos-a05ngea-pm-HBC00006BXNWN
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,"19.942,47 TL",https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-83em00c7tr-pm-HBC00009PPGDY
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,68.999 TL,https://www.hepsiburada.com/msi-katana-15-hx-b14wgk-068xtr-intel-core-i7-14650hx-16gb-1tb-ssd-rtx5070-freedos-15-6-qhd-165hz-tasinabilir-bilgisayar-pm-HBC00008RAESL
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,48.999 TL,https://www.hepsiburada.com/game-garaj-slayer-x5t-5050-c2-intel-core-i5-13500hx-32gb-ram-1tb-ssd-rtx5050-16-wuxga-165hz-ips-freedos-oyuncu-laptop-p-HBCV00009MMKU9
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,"17.855,02 TL",https://www.hepsiburada.com/lenovo-ideapad-slim-3-amd-ryzen-7-5825u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82xm00u8tx-pm-HBC00009POGNP
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,32.999 TL,https://www.hepsiburada.com/lenovo-loq-amd-ryzen-5-7235hs-24gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-oyuncu-tasinabilir-bilgisayar-83jc00dxtr-pm-HBC000087ZHH4
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,22.299 TL,https://www.hepsiburada.com/msi-modern-15-f13mg-869xtr-intel-core-i5-1334u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC0000AHX845
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,49.499 TL,https://www.hepsiburada.com/apple-macbook-air-m4-16gb-256gb-ssd-macos-13-tasinabilir-bilgisayar-gece-yarisi-mw123tu-a-p-HBCV00008748TV
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,31.999 TL,https://www.hepsiburada.com/hp-victus-gaming-15-fb3040nt-amd-ryzen-7-7445hs-16gb-512gb-ssd-rtx3050-freedos-15-6-tasinabilir-bilgisayar-bx9v1ea-pm-HBC0000AD4AGB
,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 13:05:27,58.999 TL,https://www.hepsiburada.com/msi-cyborg-17-b13wfkg-091xtr-intel-core-i7-13620h-16gb-1tb-ssd-rtx5060-freedos-17-3-fhd-144hz-tasinabilir-bilgisayar-pm-HBC0000AHITKF
